Section,What,Phrase
Related Work,using the opinions of others too justify,"• As mentioned by Burgess [2011], Henri’s argument / approach / reasoning relies too heavily on ..."
Related Work,using the opinions of others too justify,"• As others have highlighted [34, 45, 60], Ozil’s approach raises many doubts / is questionable ..."
Related Work,using the opinions of others too justify,• Several authors / experts / researchers / analysts have expressed doubts about / called into question / challenged Guyot on the grounds that .....
Related Work,using the opinions of others too justify,• Marchesi [2010] has already noted an inconsistency with Hahn’s claim / methodology / method / results / approach ...
Related Work,using the opinions of others too justify,• Friedrich’s approach [2013] has not escaped criticism / been subjected to much criticism and has been strongly / vigorously challenged ...
Related Work,using the opinions of others too justify,• Many experts now contend / believe / argue that rather than using Pappov’s approach it might be more useful to ...
Related Work,using the opinions of others too justify,• Their analysis has not found / met with / received general acceptance ...
Related Work,using the opinions of others too justify,• Some recent criticisms of / critical comments on Kim’s work are summarized in [25].
Related Work,using the opinions of others too justify,• The most well-known critic of Sadie’s findings is ... who argued / proposed / suggested that an alternative explanation might be that / could be found in ...
Results,Admitting Limitations,• We aware that our research may have two limitations. The first is ... The second is ... These limitations highlight / reveal / underline / are evidence of the difficulty of collecting data on ....
Results,Admitting Limitations,• It is plausible that a number of limitations may / might / could have influenced the results obtained.
Results,Admitting Limitations,• First / To begin with ... An additional / Another possible source of error is ...
Results,Admitting Limitations,• Since / Given that / As the focus of the study was on X ... there is a possibility / there is some
Results,Admitting Limitations,• likelihood / it is not inconceivable that dissimilar evaluations would have arisen if the focus had been on Y.
Results,Admitting Limitations,• The restricted use of X could account for / be the reason for / explain why ...
Results,Admitting Limitations,• There are several sources for / causes of / reasons for possible error.
Results,Admitting Limitations,• A major source of unreliability / uncertainty / contamination is in the method used to ...
Results,Admitting Limitations,"• Unfortunately, it was not possible / we were unable to investigate the significant relationships of X and Y further because / due to the fact that Z is ..."
Results,Admitting Limitations,"• Inevitably / Not surprisingly / As expected / As anticipated, there were some discrepancies / inaccuracies / problems due to ..."
Results,Admitting Limitations,• The performance was rather / slightly / a little disappointing. This was probably as a result of ...
Results,Admitting Limitations,• One downside / disadvantage / negative factor regarding our methodology is that ...
Results,Admitting Limitations,• Further data collection is required / would be needed to determine exactly how X affects Y.
Results,caution regarding interpretation of results,"• Initially we thought that x was equal to y. However, a more careful analysis / closer inspection revealed that ..."
Results,caution regarding interpretation of results,• These results / data / findings thus need to be interpreted with caution / care / attention.
Results,caution regarding interpretation of results,• The conclusions of the review should be treated / interpreted / analyzed / read with caution.
Results,caution regarding interpretation of results,"• However, due care / careful attention / extreme caution must be exercised / paid in ..."
Results,caution regarding interpretation of results,"• Given that our findings are based on a limited number of Xs, the results from such analyses should thus / consequently / therefore be treated with considerable / the utmost caution."
Results,caution regarding interpretation of results,• Other researchers have sounded / We should sound a note of caution with regard to such findings.
Results,expressing opinions and probabilities,• To the best of our knowledge / As far as we know / We believe that no other authors have found that x = y.
Results,expressing opinions and probabilities,• It would seem / appear that ...
Results,expressing opinions and probabilities,• Our findings would seem to show / demonstrate / suggest / imply that x = y.
Results,expressing opinions and probabilities,• This factor may be responsible / is probably responsible / could well be responsible for this result.
Results,expressing opinions and probabilities,• Presumably / We hypothesize / I argue that this factor is ...
Results,expressing opinions and probabilities,• We believe that our method could be used / probably be usefully employed in...
Results,expressing opinions and probabilities,• Our approach would lend itself well for use by / may be useful for ...
Results,expressing opinions and probabilities,"• In our opinion / view, this method could be used in ..."
Results,expressing opinions and probabilities,• We believe / feel strongly that ...
Results,expressing opinions and probabilities,• There is evidence to suggest / support the hypothesis that ...
Results,expressing opinions and probabilities,• It is proposed / This may mean / It seems likely / It may be assumed that ...
Results,expressing opinions and probabilities,• This implies / suggests / would appear to indicate that ...
Results,expressing opinions and probabilities,• The results point to the likelihood / probability that ...
Results,expressing opinions and probabilities,• There is a strong / definite / clear / good probability that ...
Results,highlighting significant results,"• The most striking / remarkable result to emerge from the data is that ... Interestingly / Curiously / Remarkably / Inexplicably, this correlation is related to ...."
Results,highlighting significant results,"• Significantly / Importantly / Crucially / Critically, X is ..."
Results,highlighting significant results,• The correlation between X and Y is interesting / of interest / worth noting / noteworthy / worth mentioning because ...
Results,highlighting significant results,• The most surprising / remarkable / intriguing correlation is with the ...
Results,highlighting significant results,• The single most striking / conspicuous / marked observation to emerge from the data comparison was ...
Results,highlighting significant results,• It is interesting / critical / crucial / important / fundamental to note that ...
Results,highlighting significant results,• We believe that / As far as we know / As far as we aware this is the first time that X ...
Results,highlighting significant results,• We believe that / We are of the opinion that / In our view the result emphasizes the validity of our model.
Results,highlighting significant results,• This result has further strengthened our confidence in X / conviction that X is / hypothesis that X is ...
Results,highlighting significant results,• Our technique shows a clear / clearly has an advantage over ...
Results,highlighting significant results,• The importance of X cannot be stressed / emphasized too much.
Results,highlighting significant results,• This underlines / highlights / stresses / proves / demonstrates just how important X is.
Results,highlighting significant results,• The utility of X is thus underlined / highlighted / stressed / proved / demonstrated.
Results,highlighting significant results,• This finding confirms / points to / highlights / reinforces / validates the usefulness of X as a ...
Results,highlighting significant results,• Our study provides additional support for / further evidence for / considerable insight into X.
Results,highlighting significant results,• These results extend / further / widen our knowledge of X.
Results,highlighting significant results,• These results offer compelling / indisputable / crucial / overwhelming / powerful / invaluable / unprecedented / unique / vital evidence for ...
Results,how you got results,"• To assess X / evaluate X / distinguish between X and Y, Z was used."
Results,how you got results,• X analysis was used to test / predict / confirm Y.
Results,how you got results,• Changes in X were identified / calculated / compared using ...
Results,how you got results,• The correlation / difference between X and Y was tested.
Results,how you got results,• The first set of analyses investigated / examined / confirmed / highlighted the impact of ...
Results,results from questionaries,"• Of the study population / initial sample / initial cohort, 90 subjects completed and returned the questionnaire."
Results,results from questionaries,• The response rate was 70% at / after / for the first six months and ...
Results,results from questionaries,• The majority of respondents / those who responded felt that ....
Results,results from questionaries,• Over half / Sixty per cent of those surveyed / questioned reported that ...
Results,results from questionaries,• Almost / Just under / Approximately two-thirds of the participants (64%) said / felt / commented that ...
Results,results from questionaries,• Only / Just a small number / Fifteen per cent of those interviewed reported / suggested / indicated that ...
Results,results from questionaries,"• Of the 82 subjects who completed the questionnaire / took part in the survey / agreed to participate, just under / over half replied that ...."
Results,results from questionaries,• A small minority of / Hardly any / Very few participants (4%) indicated ...
Results,results from questionaries,"• In response to Question 1, most / nearly all / the majority of those surveyed indicated that ..."
Results,results from questionaries,• When the subjects were asked about / questioned on X the majority commented that ....
Results,results from questionaries,• The overall response to this question was surprisingly / unexpectedly / very / quite negative.
Results,stating acceptability of your results,"• As expected / anticipated / predicted / forecast / hypothesized, our experiments show / demonstrate / prove that ..."
Results,stating acceptability of your results,• Our formula captures / reproduces the response of ...
Results,stating acceptability of your results,"• Apart from this slight discordance / discrepancy / disagreement / non-alignment, the result is confirmation of ..."
Results,stating acceptability of your results,"• Despite / Notwithstanding the lack of agreement, we believe our findings compare well with ..."
Results,stating acceptability of your results,• Although / Even though / Despite the fact that there was some inconsistency ...
Results,stating acceptability of your results,• There is satisfactory / good / exceptional / perfect agreement between ...
Results,stating acceptability of your results,• No significant / substantial / appreciable / noteworthy differences were found ...
Results,stating acceptability of your results,• Our findings appear to be well substantiated / supported by ...
Results,stating acceptability of your results,• The number of Xs that confirmed our findings was appreciable / significant / substantial.
Results,what you did not find,• No significant difference / correlation was found / identified / revealed / detected / observed / highlighted between ....
Results,what you did not find,• There were no significant differences between X and Y in terms of Z / with regard to Z / as far as Z is concerned.
Results,what you did not find,• The analysis did not show / reveal / identify / confirm any significant differences between ...
Results,what you did not find,• None of these differences were / Not one of these differences was statistically significant.
Results,what you did not find,"• Overall / Taken as a whole / Generally speaking / With a few exceptions, our results show X did not affect Y."
Results,what you found,• These tests revealed / showed / highlighted that ...
Results,what you found,• Strong / Some / No evidence of X was found ...
Results,what you found,"• Interestingly / Surprisingly / Unexpectedly, for high values of X, Y was found .."
Results,what you found,• There was a significant positive / no correlation between ...
Results,what you found,"• On average / Generally speaking / Broadly speaking, we found values for X of ..."
Results,what you found,• The average / mean score for X was ...
Results,what you found,• This result is significant only / exclusively at an X level.
Results,what you found,• Further analysis / analyses / tests / examinations / replications showed that ...
Results,your results confirm previous evidence,• Our experiments confirm / corroborate / are in line with / are consistent with previous results [Wiley 2009].
Results,your results confirm previous evidence,• The values are barely / scarcely / hardly distinguishable from [Li 2010] who ...
Results,your results confirm previous evidence,• This value has been found to be / is typical of X.
Results,your results confirm previous evidence,• This is in good agreement / in complete agreement / consistent with ...
Results,your results confirm previous evidence,"• This fits / matches / concurs well with [65] and also confirms our earlier / previous findings [39, 40, 41]."
Results,your results confirm previous evidence,• This confirms / supports / lends support to / substantiates previous findings in the literature ...
Results,your results confirm previous evidence,• These values correlate favorably / satisfactorily / fairly well with Svenson [2009] and further
Results,your results confirm previous evidence,• support the idea / role / concept of ...
Results,your results confirm previous evidence,• Further tests carried out with X confirmed / corroborated / concurred with our initial findings.
Results,your results confirm previous evidence,"• As proposed / suggested / reported / indicated / put forward by Dong [2011], the evidence we found points to ..."
Results,your results confirm previous evidence,• Our results share / have a number of similarities with Claire et al.’s [2012] findings ...
Results,your results are in contrast with the previous evidence,"• It was found that X = 2, whereas / on the other hand Kamatchi [2011] found that ..."
Results,your results are in contrast with the previous evidence,• We found much higher values for X than / with respect to those reported by Pandey [2000].
Results,your results are in contrast with the previous evidence,• Although / Despite the fact that Li and Mithran [2014] found that X = 2 we found that X = 3.
Results,your results are in contrast with the previous evidence,"• In contrast to / contradiction with earlier findings [Castenas, 2009], we ..."
Results,your results are in contrast with the previous evidence,"• This study has not confirmed previous research on X. However / Nevertheless / Despite this, it serves to ..."
Results,your results are in contrast with the previous evidence,"• Even though these results differ from some published / previous / earlier studies (Cossu, 2001; Triana, 2002), they are consistent with those of ..."
Results,your results are in contrast with the previous evidence,"• Kosov et al. noted that x = y. Our results do not support / appear to corroborate / seem to confirm their observation, in fact ..."
Results,your results are in contrast with the previous evidence,"• Georgiev is correct to argue / propose / claim that x = y. However, his calculation only referred to the limited case of .... and our conclusion of x = z, would thus seem to be justified / justifiable / defensible / correct / acceptable / warranted."
Results,your results are in contrast with the previous evidence,"• Although our results differ slightly / to some extent / considerably from those of Minhaz [2001], Erturk [2007], and Hayk [2014], it can / could nevertheless be argued that ..."
Results,your results are in contrast with the previous evidence,"• Our findings do / The current study does not support previous research in this area. In fact, contrary to / unlike / in contrast with what was previously thought, we found that ..."
Results,your results are in contrast with the previous evidence,• These findings refute / disprove / are in contradiction with / contrast with / significantly differ from previous results reported in the literature.
Trials and Experimentations,Describing benefits of your method,• This method represents a viable / valuable / useful / groundbreaking / innovative alternative to ...
Trials and Experimentations,Describing benefits of your method,• This equipment has the ability / capacity / potential to outperform all previous Xs.
Trials and Experimentations,Describing benefits of your method,• This apparatus has several / many interesting features / characteristics.
Trials and Experimentations,Describing benefits of your method,• Our method has many interesting / attractive / beneficial / useful / practical / effective / valuable applications.
Trials and Experimentations,Describing benefits of your method,• Of particular / major / fundamental interest is ...
Trials and Experimentations,Describing benefits of your method,• The key / basic / chief / crucial / decisive / essential / fundamental / important / main / major / principal advantages are:
Trials and Experimentations,Describing benefits of your method,• Our procedure is a clear improvement / advance on current methods.
Trials and Experimentations,Describing benefits of your method,• We believe this solution will aid / assist researchers to ...
Trials and Experimentations,Describing benefits of your method,• This solution improves on / enhances / furthers / advances previous methods by ...
Trials and Experimentations,Describing benefits of your method,• The benefits / advantages in terms of X far outweigh the disadvantages with regard to Y.
Trials and Experimentations,Describing the purpose of testing,In order to identify / understand / investigate / study / analyze X …
Trials and Experimentations,Describing the purpose of testing,"To enable / allow us to … , we …"
Trials and Experimentations,Describing the purpose of testing,To see / determine / check / verify / determine whether …
Trials and Experimentations,Describing the purpose of testing,"To control / test for X, Y was done."
Trials and Experimentations,Describing the purpose of testing,"So that we could / would be able to do X, we …"
Trials and Experimentations,Describing the purpose of testing,"In an attempt / effort to do X, we …"
Trials and Experimentations,Describing the purpose of testing,X was done / We did X in order to …
Trials and Experimentations,describing the apparatus and materials used and their source,• The instrument used / utilized / adopted / employed was ...
Trials and Experimentations,describing the apparatus and materials used and their source,• The apparatus consists of / is made up of / is composed of / is based on ...
Trials and Experimentations,describing the apparatus and materials used and their source,• The device was designed / developed / set up in order to ...
Trials and Experimentations,describing the apparatus and materials used and their source,• X incorporates / exploits / makes use of the latest technological advances.
Trials and Experimentations,describing the apparatus and materials used and their source,• The system comes complete / is equipped / is fully integrated / is fitted with a ...
Trials and Experimentations,describing the apparatus and materials used and their source,• It is mounted on / connected to / attached to / fastened to / fixed to / surrounded by / covered with /
Trials and Experimentations,describing the apparatus and materials used and their source,• integrated into / embedded onto / encased in / housed in / aligned with ...
Trials and Experimentations,describing the apparatus and materials used and their source,• It is located in / situated in / positioned on ....
Trials and Experimentations,describing the apparatus and materials used and their source,• X was obtained from / supplied by Big Company Inc.
Trials and Experimentations,describing the apparatus and materials used and their source,• X was kindly provided / supplied by Prof Big.
Trials and Experimentations,explaining selection procedure for samples,• The traditional / classical / normal / usual approach to sample collection is to ...
Trials and Experimentations,explaining selection procedure for samples,• The criteria / reasons for selecting Xs were:
Trials and Experimentations,explaining selection procedure for samples,• The sample was selected / subdivided on the basis of X and Y.
Trials and Experimentations,explaining selection procedure for samples,• The initial sample consisted of / was made up / was composed of ...
Trials and Experimentations,explaining selection procedure for samples,• Approximately / Just over / Slightly under a half / third / quarter of the sample were ...
Trials and Experimentations,explaining selection procedure for samples,• A total of 1234 Xs were recruited for this study / this survey / for interviews.
Trials and Experimentations,explaining selection procedure for samples,"• At the beginning of the study, all of the participants / subjects / patients were aged ......"
Trials and Experimentations,explaining selection procedure for samples,• In all cases patients’ / subjects’ / participants’ consent was obtained.
Trials and Experimentations,explaining selection procedure for samples,• Interviews were performed / conducted / carried out informally
Trials and Experimentations,explaining selection procedure for samples,• The interviewees were divided / split / broken down into two groups based on / on the basis of ...
Trials and Experimentations,"explaining the preparation of samples, solutions",• We used reliable / innovative / classic / traditional techniques based on the recommendations of ...
Trials and Experimentations,"explaining the preparation of samples, solutions",• Xs were prepared as described by / according to / following Jude [2010].
Trials and Experimentations,"explaining the preparation of samples, solutions",• Xs were prepared in accordance with / in compliance with / as required by....
Trials and Experimentations,"explaining the preparation of samples, solutions",• Y was prepared using the same / a similar procedure as for X.
Trials and Experimentations,"explaining the preparation of samples, solutions",• All samples were carefully / thoroughly checked for ...
Trials and Experimentations,"explaining the preparation of samples, solutions",• X was gradually / slowly / rapidly / gently heated
Trials and Experimentations,"explaining the preparation of samples, solutions",• The final / resulting solutions contained ...
Trials and Experimentations,"explaining the preparation of samples, solutions",• This was done by means of / using / with a calculator.
Trials and Experimentations,"explaining why you chose your specific method, mdel",• The aim / purpose of X is to do Y. Consequently we / As a result we / Therefore we / We thus ...
Trials and Experimentations,"explaining why you chose your specific method, mdel",• This method / model / system was chosen because it is one of the most practical / feasible / economic / rapid ways to ...
Trials and Experimentations,"explaining why you chose your specific method, mdel",• We chose this particular apparatus because / on account of the fact that / due to / since ...
Trials and Experimentations,"explaining why you chose your specific method, mdel",• It was decided that the best procedure / method / equipment for this investigation / study was to ...
Trials and Experimentations,"explaining why you chose your specific method, mdel",• An X approach was chosen / selected in order to ...
Trials and Experimentations,"explaining why you chose your specific method, mdel",• The design of the X was based on / is geared towards ...
Trials and Experimentations,"explaining why you chose your specific method, mdel",• We opted for / chose a small sample size because / due to / on the basis of ...
Trials and Experimentations,"explaining why you chose your specific method, mdel","• By having / By exploiting / Through the use of X, we were able to ..."
Trials and Experimentations,"explaining why you chose your specific method, mdel",• Having an X enabled us to / allowed us to / meant that we could do Y.
Trials and Experimentations,formulating equations theories and theorems,• This problem can be outlined / phrased / posed in terms of ...
Trials and Experimentations,formulating equations theories and theorems,• The problem is ruled by / governed by / related to / correlated to ...
Trials and Experimentations,formulating equations theories and theorems,• This theorem asserts / states that ...
Trials and Experimentations,formulating equations theories and theorems,• The resulting integrals / solution to X can be expressed as ...
Trials and Experimentations,formulating equations theories and theorems,• ... where T stands for / denotes / identifies / is an abbreviation for time.
Trials and Experimentations,formulating equations theories and theorems,• By substituting / Substituting / Substitution into ...
Trials and Experimentations,formulating equations theories and theorems,• Combining / Integrating / Eliminating .. we have that: ...
Trials and Experimentations,formulating equations theories and theorems,"• Taking advantage of / Exploiting / Making use of X, we ..."
Trials and Experimentations,formulating equations theories and theorems,"• On combining this result with X, we deduce / conclude that ..."
Trials and Experimentations,formulating equations theories and theorems,"• Subtracting X from Y, we have that / obtain / get ..."
Trials and Experimentations,formulating equations theories and theorems,• Equation 1 shows / reveals that
Trials and Experimentations,formulating equations theories and theorems,• This gives the formal solution / allows a formal solution to be found ...
Trials and Experimentations,formulating equations theories and theorems,• It may easily / simply verified that ...
Trials and Experimentations,formulating equations theories and theorems,• It is straightforward / easy / trivial to verify that ...
Trials and Experimentations,formulating equations theories and theorems,"• For the sake of simplicity / reasons of space, we"
Trials and Experimentations,indicating that care must be taken,• To do this entails / involves / requires doing X.
Trials and Experimentations,indicating that care must be taken,• It is seldom / rarely / usually / generally / often / always practical to ...
Trials and Experimentations,indicating that care must be taken,• Considerable / Great care are must be taken / exercised when ...
Trials and Experimentations,indicating that care must be taken,• A great deal of / Considerable attention must be paid when ...
Trials and Experimentations,indicating that care must be taken,• Extreme caution must be taken / used when ...
Trials and Experimentations,Indicating time frame,• Initial studies were made / performed / done / carried out / executed using the conditions described above over / for a period of ...
Trials and Experimentations,Indicating time frame,• X was collected / used / tested / characterized / assessed during the first / initial step.
Trials and Experimentations,Indicating time frame,"• Prior to / Before doing X, we did Y."
Trials and Experimentations,Indicating time frame,"• First we estimated / determined the value of X, then / subsequently we studied / analyzed / evaluated Y."
Trials and Experimentations,Indicating time frame,"• Once / As soon as / After X had been done, we then did Y."
Trials and Experimentations,Indicating time frame,• The levels were thus / consequently / therefore set at ...
Trials and Experimentations,Indicating time frame,"• After / Afterwards / Following this, X was subjected to Y."
Trials and Experimentations,Indicating time frame,• The resulting / remaining Xs were then ...
Trials and Experimentations,Indicating time frame,• The experiment was then repeated / replicated under conditions in which ...
Trials and Experimentations,Indicating time frame,"• Finally, independent / separate / further / additional tests were performed on the ..."
Trials and Experimentations,Indicating time frame,• In the first step / During the first phase / In the initial stage of the process ...
Trials and Experimentations,Indicating time frame,"• Once / As soon as / After X has been done, we can then do Y."
Trials and Experimentations,Indicating time frame,• This sets the stage / We are now ready for the next step.
Trials and Experimentations,Indicating time frame,• At this point / Now X can be ...
Trials and Experimentations,Indicating time frame,"• After / When / As soon as these steps have been carried out, X ..."
Trials and Experimentations,Indicating time frame,"• With the completion of these steps / When these steps have been completed, we are now ready to ..."
Trials and Experimentations,Indicating time frame,• This condition cannot be reached until / unless X has been ...
Trials and Experimentations,Indicating time frame,"• When / As soon as X is ready, the final adjustments can be made."
Trials and Experimentations,Indicating time frame,• The completed X can now / then / subsequently be used to ...
Trials and Experimentations,Indicating time frame,"• By reducing the amount of X / If the amount of X is reduced, Y can then be done."
Trials and Experimentations,Indicating time frame,"• To reduce the risk of Y, place / The risk of X can be reduced by placing all the Xs in a container."
Trials and Experimentations,Indicating time frame,• The experiment proceeds / continues following the steps outlined below.
Trials and Experimentations,Outlinig alternative approaches,• A less lengthy / time-consuming / cumbersome / costly approach is ...
Trials and Experimentations,Outlinig alternative approaches,• A neater / more elegant / simplified / more practical solution for this problem ...
Trials and Experimentations,Outlinig alternative approaches,"• An alternative solution, though with high overheads / slightly more complicated / less exhaustive is..."
Trials and Experimentations,Outlinig alternative approaches,• One / One possible / A good way to avoid the use of X is to use Y instead.
Trials and Experimentations,reporting customizations performed,• X was tailored / customized for use with ...
Trials and Experimentations,reporting customizations performed,• X can easily be customized / adapted / modified to suit all requirements.
Trials and Experimentations,reporting customizations performed,• Measurements were taken using purpose-built / custom-built / customized equipment.
Trials and Experimentations,reporting customizations performed,• The apparatus was adapted as in [Ref] / in accordance with [Ref] / as follows:
Trials and Experimentations,reporting customizations performed,• The following changes / modifications were made:
Trials and Experimentations,reporting customizations performed,• The resulting ad hoc device can / is able to / has the capacity to ...
Trials and Experimentations,reporting used software,"• The software application / program / package used to analyze the data was SoftGather (Softsift plc, London)."
Trials and Experimentations,reporting used software,• The data were obtained / collected using SoftGather.
Trials and Experimentations,reporting used software,• Data management / analysis was performed by / using SoftGather.
Trials and Experimentations,reporting used software,• X was carried out / performed / analyzed / calculated / determined using SoftGather.
Trials and Experimentations,reporting used software,• Statistical significance was analyzed by using / through the use of SoftGather.
Trials and Experimentations,reporting used software,• We used commercially available software / a commercially available software package.
Trials and Experimentations,reporting used software," Free software, downloaded from www.free.edu, was used / adopted to ..."
